"Rank","Player","Team","BigChancesCreated","TotalAssists","Minutes","Matches","Country"
250,"Faitout Maouassa","Granada CF",1,1,244,6,"FRA"
250,"Famara Diédhiou","Granada CF",1,1,82,8,"SEN"
250,"Giovanni González","Mallorca",1,1,2463,34,"URU"
250,"Hugo González","Valencia CF",1,1,79,9,"ESP"
250,"Javi Galán","Real Sociedad",1,1,1159,19,"ESP"
250,"Javier Manquillo","Celta de Vigo",1,1,746,12,"ESP"
250,"Jon Pacheco","Real Sociedad",1,1,1521,23,"ESP"
250,"José Ángel Carmona","Getafe",1,1,1312,30,"ESP"
250,"José Copete","Mallorca",1,1,1335,19,"ESP"
250,"Juan Cruz","Osasuna",1,1,1663,26,"ESP"
250,"Juan Foyth","Villarreal",1,1,1063,12,"ARG"
250,"Mika Mármol","Las Palmas",1,1,3181,36,"ESP"
250,"Randy Nteka","Rayo Vallecano",1,1,563,16,"ANG"
250,"Reinildo","Atlético de Madrid",1,1,723,16,"MOZ"
250,"Selim Amallah","Valencia CF",1,1,597,20,"MAR"
250,"Victor Chust","Cádiz",1,1,1870,22,"ESP"
281,"Abdul Mumin","Rayo Vallecano",1,0,1695,20,"GHA"
281,"Aissa Mandi","Villarreal",1,0,1113,16,"ALG"
281,"Alberto Risco","Getafe",1,0,135,4,"ESP"
281,"Amath Ndiaye","Mallorca",1,0,388,15,"SEN"
281,"Ander Guevara","Alavés",1,0,2936,37,"ESP"
281,"Andrei Ratiu","Rayo Vallecano",1,0,627,12,"ROU"
281,"Antal Yaakobishvili","Girona",1,0,60,1,"HUN"
281,"Axel Witsel","Atlético de Madrid",1,0,2784,35,"BEL"
281,"Benat Prados","Athletic Club",1,0,1450,26,"ESP"
281,"Cédric Bakambu","Real Betis",1,0,195,4,"COD"
281,"Daniel Vivian","Athletic Club",1,0,2879,33,"ESP"
281,"Denis Suárez","Villarreal",1,0,130,4,"ESP"
281,"Enrique Barja","Osasuna",1,0,293,16,"ESP"
281,"Eric Garcia","Girona",1,0,2697,32,"ESP"
281,"Ferland Mendy","Real Madrid",1,0,1725,23,"FRA"
281,"Fermin Lopez","Barcelona",1,0,1444,31,"ESP"
281,"Fernando","Sevilla",1,0,459,8,"BRA"
281,"Fran Beltrán","Celta de Vigo",1,0,2438,33,"ESP"
281,"Gaston Álvarez","Getafe",1,0,2535,34,"URU"
281,"Germán Pezzella","Real Betis",1,0,2770,32,"ARG"
281,"Giorgi Mamardashvili","Valencia CF",1,0,3285,37,"GEO"
281,"Guido Rodriguez","Real Betis",1,0,1849,24,"ARG"
281,"Hugo Guillamon","Valencia CF",1,0,1305,26,"ESP"
281,"Iddrisu Baba","Almería",1,0,1424,25,"GHA"
281,"Iker Muniain","Athletic Club",1,0,585,20,"ESP"
281,"Jhon Solis","Girona",1,0,369,18,"COL"
281,"Jon Magunazelaia","Real Sociedad",1,0,118,5,"ESP"
281,"Jordi Martin","Getafe",1,0,574,13,"ESP"
281,"Jorge Herrando","Osasuna",1,0,1644,19,"ESP"
281,"José Luis Morales","Villarreal",1,0,1037,29,"ESP"
281,"Kike Pérez","Rayo Vallecano",1,0,828,24,"ESP"
281,"Kiko","Villarreal",1,0,1579,23,"ESP"
281,"Lázaro","Almería",1,0,274,14,"BRA"
281,"Lucas Torro","Osasuna",1,0,1788,28,"ESP"
281,"Luis Suárez","Almería",1,0,917,15,"COL"
281,"Marc Guiu","Barcelona",1,0,73,3,"ESP"
281,"Marcao","Sevilla",1,0,354,7,"BRA"
281,"Marcos Alonso","Barcelona",1,0,250,5,"ESP"
281,"Maximiliano Gomez","Cádiz",1,0,1157,31,"URU"
281,"Moi Gomez","Osasuna",1,0,2010,28,"ESP"
281,"Nahuel Tenaglia","Alavés",1,0,1131,25,"ARG"
281,"Nemanja Maksimovic","Getafe",1,0,3272,37,"SRB"
281,"Nemanja Radonjic","Mallorca",1,0,350,11,"SRB"
281,"Ørjan Håskjold Nyland","Sevilla",1,0,2160,24,"NOR"
281,"Oscar Trejo","Rayo Vallecano",1,0,1381,31,"ARG"
281,"Oscar Valentin","Rayo Vallecano",1,0,2700,34,"ESP"
281,"Pablo Busto","Real Betis",1,0,42,2,"ESP"
281,"Pau Cubarsi","Barcelona",1,0,1562,19,"ESP"
281,"Pejino","Las Palmas",1,0,498,17,"ESP"
281,"Radamel Falcao","Rayo Vallecano",1,0,391,22,"COL"
281,"Raul Torrente","Granada CF",1,0,1252,17,"ESP"
281,"Renato Tapia","Celta de Vigo",1,0,1337,21,"PER"
281,"Ricard Sánchez","Granada CF",1,0,2298,33,"ESP"
281,"Stefan Mitrovic","Getafe",1,0,700,11,"SRB"
281,"Tadeo Allende","Celta de Vigo",1,0,330,10,"ARG"
281,"Thibaut Courtois","Real Madrid",1,0,333,4,"BEL"
281,"Unai Gomez","Athletic Club",1,0,867,25,"ESP"
281,"Valery Fernández","Girona",1,0,486,27,"ESP"
281,"Xeber Alkain","Alavés",1,0,300,10,"ESP"
