Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Url
2023,Almería,La Liga,Diego Mariño,ESP,GK,32,1990,0.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/d9235a45/Diego-Marino
2023,Almería,La Liga,Gonzalo Melero,ESP,MF,28,1994,20.6,4,23,10,43.5,1.12,0.49,0.13,0.3,17.2,0,1,1,3,2.3,0.1,1,0.7,https://fbref.com/en/players/3902e91b/Gonzalo-Melero
2023,Almería,La Liga,Houboulang Mendes,GNB,DF,24,1998,9.8,0,1,0,0,0.1,0,0,NA,23.9,0,0,0,0,0,0.02,0,0,https://fbref.com/en/players/1545cf15/Houboulang-Mendes
2023,Almería,La Liga,Marko Milovanović,SRB,FW,18,2003,0.2,0,1,0,0,6,0,0,NA,9.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,https://fbref.com/en/players/1fda2b14/Marko-Milovanovic
2023,Almería,La Liga,Fernando Pacheco,ESP,GK,30,1992,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/97852360/Fernando-Pacheco
2023,Almería,La Liga,Francisco Portillo,ESP,"MF,FW",32,1990,8,2,5,2,40,0.62,0.25,0.4,1,17.4,0,0,0,0.7,0.7,0.14,1.3,1.3,https://fbref.com/en/players/8e010ff4/Francisco-Portillo
2023,Almería,La Liga,Alejandro Pozo Pozo,ESP,DF,23,1999,20.9,0,10,2,20,0.48,0.1,0,0,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo
2023,Almería,La Liga,Arnau Puigmal,ESP,"MF,FW",21,2001,8.5,1,17,6,35.3,2.01,0.71,0.06,0.17,18.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,https://fbref.com/en/players/39352da2/Arnau-Puigmal
2023,Almería,La Liga,Largie Ramazani,BEL,"FW,MF",21,2001,15.6,3,40,18,45,2.57,1.15,0.08,0.17,19.8,1,0,1,4.2,3.4,0.08,-1.2,-0.4,https://fbref.com/en/players/cc9256ef/Largie-Ramazani
2023,Almería,La Liga,Lucas Robertone,ARG,MF,25,1997,31.6,2,37,7,18.9,1.17,0.22,0.05,0.29,25.4,4,0,0,2.6,2.6,0.07,-0.6,-0.6,https://fbref.com/en/players/a8981944/Lucas-Robertone
